REGISTRATIONNO,PARTYNO,PARTYNAME,PARTYFORMPUBLICREGISTRY,PARTYSUBFORMPUBLICREGISTRY,PARTYFORMLOCALREGISTRY,PARTYCONSENTTYPELOCALREGISTRY,SEGMENT,INDUSTRY
9215999,2769307,"TAJPOS, PISARNIŠKE STORITVE, TANJA PAVČIČ S.P.",142,,111,0,PO,82.110
3863999,273931,"INSTALACIJE PODČEDENŠEK - MARTIN PODČEDENŠEK S.P., VODOVODNE INSTALACIJE IN OGREVANJE",142,,111,0,FO,43.220
1694359,909603,"OBLAGANJE TAL IN STEN, GAJŠEK MILAN S.P.",142,,111,0,PO,43.330
3872637,372421,"ALI MEMEDI, DRUŽBA ZA RAZNE STORITVE, D.O.O.",103,,122,0,FO,47.210
5749085,139039,"MODIC SI TRGOVINA, PROIZVODNJA, INŽENIRING D.O.O.",103,,122,0,PO,46.190
1492527,897194,"GENEZA, ZAVOD ZA BIOTEHNOLOGIJO ŽIVLJENJA IN EKOLOGIJO VRANSKO",354,,304,0,FO,72.110
5854105,194955,SREDNJA ŠOLA JESENICE,355,,305,0,PO,85.320
5966011,915801,"VZDRŽEVANJE IN STORITVE, RAJKO NOVAK S.P.",142,,111,0,PO,81.210
8090700,285644,"TLG, TRANSPORT D.O.O. - V STEČAJU",103,,122,0,PO,49.410
5696455,191586,MIZARSTVO GNIDOVEC TOMAŽ S.P.,142,,111,0,FO,31.010
3815650,272222,"ORGANIZACIJA DOGODKOV, NATAŠA REGOVEC S.P.",142,,111,0,FO,82.300
6139264,382573,"GRUŠČ, DRUŽBA ZA UPRAVLJANJE PODJETIJ, D.O.O.",103,,122,0,FO,64.200
6592783,263952,"GO TEAM, GOSTINSTVO IN DRUGE STORITVE, GORDAN JEREBIC, S.P.",142,,111,0,FO,90.010
1538195,903852,AMHS INŽENIRING D.O.O. - V STEČAJU,103,,122,0,FO,71.129
5034477,191113,"PLINARNA MARIBOR DRUŽBA ZA PROIZVODNJO, DISTRIBUCIJO ENERGENTOV, TRGOVINO IN STORITVE D.O.O.",,,,,35.220
